iter	MultiClass
0	1.667411879
1	1.579018229
2	1.510427242
3	1.452591098
4	1.401222205
5	1.354929213
6	1.309540383
7	1.27157123
8	1.244619716
9	1.226994325
10	1.210881542
11	1.193727116
12	1.179692927
13	1.163129136
14	1.150219683
15	1.135679304
16	1.120358646
17	1.105796798
18	1.089905622
19	1.078010539
20	1.066188449
21	1.051715578
22	1.038370145
23	1.025771197
24	1.016501133
25	1.007608843
26	0.9951867355
27	0.9863543201
28	0.9778949083
29	0.968366262
30	0.959917187
31	0.9516203032
32	0.9413986066
33	0.9331273266
34	0.9251838857
35	0.9176634632
36	0.9098044669
37	0.903181368
38	0.8965511922
39	0.8899097253
40	0.8828806242
41	0.8764082057
42	0.8699415122
43	0.8619653112
44	0.8550224041
45	0.8475736243
46	0.8404184923
47	0.8340683674
48	0.8269052045
49	0.820911703
50	0.813953211
51	0.8067956141
52	0.800901347
53	0.7920517564
54	0.7867695142
55	0.7816274564
56	0.776193341
57	0.771225977
58	0.7663413083
59	0.7603571101
60	0.7555878173
61	0.750923802
62	0.7426650853
63	0.7361156965
64	0.7317789637
65	0.7273929318
66	0.7230643096
67	0.7187099246
68	0.7130297112
69	0.7087188207
70	0.7045940742
71	0.6997929755
72	0.6937794363
73	0.689614853
74	0.6851002458
75	0.681057797
76	0.677084367
77	0.673089309
78	0.6688324091
79	0.6646745447
80	0.6604745772
81	0.656695521
82	0.6528732087
83	0.6488787868
84	0.6454459376
85	0.6418387127
86	0.6382679452
87	0.6345803706
88	0.6307897847
89	0.6275222466
90	0.6243308439
91	0.6211509708
92	0.6178815243
93	0.6147213709
94	0.6115709182
95	0.6084715935
96	0.6054410093
97	0.6023603706
98	0.5990023845
99	0.5954079614
100	0.5924937072
101	0.5893690173
102	0.5863816493
103	0.5834858823
104	0.5800448431
105	0.5772367013
106	0.5745303384
107	0.5717105477
108	0.5684923485
109	0.5656870692
110	0.5627190233
111	0.5596351642
112	0.5564157723
113	0.5535975321
114	0.5508681099
115	0.5483499583
116	0.5455071878
117	0.5427431369
118	0.54017998
119	0.5377845593
120	0.5353542715
121	0.5329697443
122	0.5305927711
123	0.528308671
124	0.5260970089
125	0.523849923
126	0.5215916652
127	0.5192940874
128	0.5168451931
129	0.5146303504
130	0.5124470352
131	0.510376472
132	0.5082444438
133	0.5060970693
134	0.5039369327
135	0.501781249
136	0.4995194528
137	0.4973699314
138	0.4951143374
139	0.4929878355
140	0.490890436
141	0.4887869537
142	0.4864000013
143	0.4844074818
144	0.4823237588
145	0.4804581447
146	0.4785532901
147	0.4763774096
148	0.4743747917
149	0.4723116233
150	0.4702989467
151	0.4683971137
152	0.466302855
153	0.4645651801
154	0.462832793
155	0.4611176207
156	0.4593727497
157	0.457617184
158	0.4558530307
159	0.4541295094
160	0.4523985535
161	0.4507451245
162	0.4491078767
163	0.4474445878
164	0.445811594
165	0.4443354033
166	0.442684956
167	0.440933366
168	0.439423143
169	0.4378138048
170	0.4363580096
171	0.4347609962
172	0.4332925582
173	0.4316177397
174	0.4300509021
175	0.4285214365
176	0.4269893469
177	0.4255950166
178	0.4241138562
179	0.4223961792
180	0.4209067493
181	0.4193571267
182	0.4177904879
183	0.4162280635
184	0.4148377089
185	0.4130393245
186	0.4115305725
187	0.4101298412
188	0.4087770175
189	0.407608509
190	0.4063195754
191	0.4049372915
192	0.4035940891
193	0.4021084361
194	0.4007593894
195	0.3994274384
196	0.3981311497
197	0.3969084518
198	0.3956341092
199	0.3944647658
200	0.3931099542
201	0.3918740967
202	0.3907162034
203	0.3895773538
204	0.3883872173
205	0.3871760888
206	0.3840018613
207	0.382667167
208	0.3815268862
209	0.3802380321
210	0.3789917979
211	0.3778869409
212	0.3765745107
213	0.3754732716
214	0.3744047528
215	0.3732364431
216	0.3720946912
217	0.3709591813
218	0.3699087521
219	0.3688354227
220	0.3677457927
221	0.3665382027
222	0.3654333457
223	0.3643327029
224	0.3632536087
225	0.3621578959
226	0.3610797956
227	0.3600474957
228	0.35910628
229	0.3580333084
230	0.3570003724
231	0.3560422996
232	0.3550819208
233	0.3539939607
234	0.3529774445
235	0.3519754001
236	0.3510665866
237	0.3501405184
238	0.3492709852
239	0.3482894953
240	0.3472538956
241	0.3463320417
242	0.3453779048
243	0.3444562497
244	0.3434995684
245	0.3425342597
246	0.3416580075
247	0.3408099035
248	0.3399235132
249	0.3390371626
250	0.3380955493
251	0.3372393348
252	0.3364020051
253	0.3354874268
254	0.3346037002
255	0.3337302311
256	0.332900157
257	0.3320631851
258	0.3312725106
259	0.3304145468
260	0.3295895021
261	0.3288408313
262	0.3279911569
263	0.3271383416
264	0.3263258205
265	0.3256050593
266	0.3248380802
267	0.3240352002
268	0.323276928
269	0.3224567337
270	0.3217077646
271	0.3209815567
272	0.3202280951
273	0.3195289023
274	0.3188466462
275	0.3180081833
276	0.3172471082
277	0.3154167191
278	0.3147450981
279	0.313975992
280	0.3132391092
281	0.3125231785
282	0.3117887011
283	0.3110562115
284	0.3103598614
285	0.3096557188
286	0.3089559495
287	0.3082150711
288	0.307512479
289	0.3068621282
290	0.3062274218
291	0.3055958165
292	0.3049390647
293	0.3043019133
294	0.3036426766
295	0.3029940353
296	0.3023361901
297	0.3016259249
298	0.3009628318
299	0.300316894
300	0.2996411978
301	0.2989733934
302	0.2983746277
303	0.2977374365
304	0.2971180765
305	0.2965339614
306	0.2959400063
307	0.2953433875
308	0.2946778493
309	0.2940252322
310	0.2934450531
311	0.2928571412
312	0.2922352565
313	0.2915932547
314	0.2909650089
315	0.2904001165
316	0.289320406
317	0.2887982925
318	0.288270434
319	0.2876862791
320	0.2871364746
321	0.2865759157
322	0.2860448369
323	0.2855253275
324	0.2849686251
325	0.2844057603
326	0.2838956932
327	0.2833860635
328	0.2828397179
329	0.2823218783
330	0.2817795879
331	0.2812471375
332	0.2807077891
333	0.2802070651
334	0.2796256137
335	0.2791044941
336	0.2785874497
337	0.2780746195
338	0.2775284925
339	0.2770337917
340	0.2765103463
341	0.2759743773
342	0.2754106975
343	0.2749278642
344	0.274421594
345	0.2739760929
346	0.2735370723
347	0.2730316569
348	0.2725637525
349	0.2720996052
350	0.2717142968
351	0.2712681397
352	0.270802581
353	0.2703435028
354	0.2699029515
355	0.2694481472
356	0.268976943
357	0.2685151811
358	0.2680402795
359	0.2675683198
360	0.2671302335
361	0.2666646947
362	0.2662484153
363	0.2657848246
364	0.2653425041
365	0.264893067
366	0.2644813796
367	0.2640461955
368	0.2636633321
369	0.2630720209
370	0.2626104579
371	0.2622020504
372	0.2617551777
373	0.2613415819
374	0.2609332539
375	0.2605126807
376	0.2601257422
377	0.2597357225
378	0.2593078538
379	0.2589167805
380	0.2585384097
381	0.2581477539
382	0.2576891727
383	0.2573161492
384	0.2569102067
385	0.2565150385
386	0.256113191
387	0.2556810682
388	0.2552726409
389	0.2549011083
390	0.2545366924
391	0.2541691754
392	0.253767626
393	0.2533912431
394	0.2530359713
395	0.2526371852
396	0.2521706127
397	0.2518061172
398	0.2514169722
399	0.2509872349
400	0.2506038547
401	0.2502581445
402	0.2498832128
403	0.2495201684
404	0.2491571241
405	0.2488213136
406	0.2484790226
407	0.2481514021
408	0.2478403007
409	0.24747503
410	0.2471670297
411	0.2468054564
412	0.2464814538
413	0.2461731156
414	0.245873206
415	0.2455341354
416	0.2451852446
417	0.2448266929
418	0.2444818574
419	0.2441601011
420	0.2438669105
421	0.2435841363
422	0.2432758577
423	0.2429803015
424	0.2426379906
425	0.2423313819
426	0.2420004217
427	0.2417198739
428	0.2414074209
429	0.2410789257
430	0.240772635
431	0.2404501034
432	0.2401422622
433	0.2398677575
434	0.2395566363
435	0.2391616469
436	0.2388210058
437	0.2385144369
438	0.2381950461
439	0.2378859525
440	0.2375721278
441	0.2372897512
442	0.2368628168
443	0.2365672804
444	0.2362583061
445	0.2360283694
446	0.2357533479
447	0.2354861188
448	0.2351819154
449	0.2349050849
450	0.2346547725
451	0.2343518612
452	0.2341050674
453	0.2338408002
454	0.2335547858
455	0.2332800426
456	0.2330290146
457	0.2327709695
458	0.2324692509
459	0.2322589742
460	0.2319786649
461	0.2317191885
462	0.231446135
463	0.2311513342
464	0.2309121539
465	0.2306260599
466	0.2303651721
467	0.2301308224
468	0.2298880242
469	0.2296289255
470	0.2293686937
471	0.2290999339
472	0.2288528221
473	0.2285977985
474	0.2283342072
475	0.2281084848
476	0.2278957233
477	0.2276415744
478	0.2274164483
479	0.2271977828
480	0.2269687407
481	0.2267244516
482	0.226457143
483	0.2261984021
484	0.2259601363
485	0.2257137798
486	0.2254578617
487	0.2249825823
488	0.2247403208
489	0.2245494656
490	0.2243241607
491	0.2241018574
492	0.2238973654
493	0.2237012026
494	0.2234802908
495	0.2232374131
496	0.2230357439
497	0.2227889899
498	0.2225740815
499	0.2223577816
500	0.2221165538
501	0.2219281834
502	0.2217211867
503	0.221488308
504	0.2212464242
505	0.2210015388
506	0.2207771681
507	0.220602514
508	0.2203668324
509	0.220194683
510	0.2199524613
511	0.2197178333
512	0.2194907392
513	0.2193187887
514	0.2191400197
515	0.2189274769
516	0.2187448315
517	0.2185370397
518	0.2183471784
519	0.2181692444
520	0.2179388704
521	0.2177293093
522	0.2175694251
523	0.2173729243
524	0.217194215
525	0.2168827161
526	0.2167242035
527	0.2165420751
528	0.216354798
529	0.2161803825
530	0.2159803831
531	0.2158012563
532	0.2156193067
533	0.2154153117
534	0.2152498416
535	0.2150663813
536	0.2148671373
537	0.2146450328
538	0.2144620098
539	0.2143145497
540	0.2141280877
541	0.21398188
542	0.2138202465
543	0.2136551739
544	0.2134971384
545	0.2133378108
546	0.2131440136
547	0.2129346115
548	0.2127443328
549	0.2125334797
550	0.2123689041
551	0.2122045074
552	0.2120431919
553	0.2118732292
554	0.2117149949
555	0.211582265
556	0.2114316641
557	0.2112525771
558	0.2110934681
559	0.2108992733
560	0.2107470821
561	0.2105685716
562	0.2103975951
563	0.2102901906
564	0.210126271
565	0.209939968
566	0.2097565673
567	0.2096174165
568	0.2094861576
569	0.209284389
570	0.2091552372
571	0.20901879
572	0.2088528825
573	0.2086788049
574	0.2085528337
575	0.2083660536
576	0.2081908827
577	0.2080711733
578	0.2079800494
579	0.2078551915
580	0.2077180882
581	0.2075699523
582	0.2074160515
583	0.2072505615
584	0.2070755099
585	0.206919343
586	0.2068093741
587	0.2066862853
588	0.2065261626
589	0.2063991577
590	0.2062437462
591	0.206116622
592	0.2059938513
593	0.2058381416
594	0.2057173389
595	0.2055805139
596	0.20541894
597	0.2052820355
598	0.2051607159
599	0.2050434317
600	0.204925412
601	0.2048114674
602	0.2047109608
603	0.204580676
604	0.2044547246
605	0.2043177208
606	0.2041973951
607	0.2040875654
608	0.2039723884
609	0.2038197797
610	0.2036957964
611	0.2035814542
612	0.2034639116
613	0.2033809976
614	0.203230198
615	0.2031044454
616	0.2029545602
617	0.2028302389
618	0.2027314817
619	0.2025940405
620	0.2024852047
621	0.2023567089
622	0.2022271993
623	0.2021449016
624	0.2020088917
625	0.20191904
626	0.2017939236
627	0.2017019251
628	0.2016285728
629	0.2014746323
630	0.2013327382
631	0.2012292101
632	0.2010832211
633	0.2010467437
634	0.2009108729
635	0.2008106048
636	0.2006835006
637	0.2005449064
638	0.2004368062
639	0.2003260223
640	0.2002226134
641	0.2001390832
642	0.2000372248
643	0.1998407241
644	0.1997349496
645	0.199627068
646	0.1995639333
647	0.1994755726
648	0.199366538
649	0.1992970223
650	0.1992011276
651	0.1990919737
652	0.1989776316
653	0.1988750774
654	0.1987792423
655	0.1987688458
656	0.1986638068
657	0.1985671567
658	0.1984586589
659	0.1983353912
660	0.1982336123
661	0.1980960916
662	0.1980352032
663	0.1979728041
664	0.1978953567
665	0.1977680338
666	0.1976502924
667	0.1975385344
668	0.1974730342
669	0.1973682735
670	0.1972954182
671	0.1972191039
672	0.1971270458
673	0.1969980331
674	0.1968836313
675	0.196778652
676	0.1966743287
677	0.1965664869
678	0.1964516676
679	0.1963518965
680	0.1962610907
681	0.1961922111
682	0.1961382802
683	0.1960359647
684	0.1959782966
685	0.1959399109
686	0.1958372971
687	0.1957247838
688	0.195705581
689	0.1956400808
690	0.1955580613
691	0.1954813495
692	0.1953953742
693	0.1953020239
694	0.1952129476
695	0.1951275885
696	0.1950309185
697	0.1949420409
698	0.1948613534
699	0.1947975229
700	0.1947105537
701	0.1946167065
702	0.1945216267
703	0.1944228695
704	0.1943265771
705	0.1942521712
706	0.1941916406
707	0.1941151475
708	0.194003151
709	0.1939296397
710	0.1939029426
711	0.1937892962
712	0.193721987
713	0.1936125151
714	0.1935825977
715	0.1935147716
716	0.1934329708
717	0.1933793978
718	0.1933051509
719	0.1932332895
720	0.1931412711
721	0.1930520755
722	0.1930194943
723	0.1929742504
724	0.1928809995
725	0.192813412
726	0.1927403778
727	0.1926450595
728	0.1925738342
729	0.192503404
730	0.1924518586
731	0.1923931966
732	0.1923098851
733	0.1922770853
734	0.192215521
735	0.1922069533
736	0.1921493051
737	0.1920613817
738	0.1919844115
739	0.1919324088
740	0.1918355997
741	0.1917789255
742	0.191685456
743	0.191681202
744	0.1916185841
745	0.1915728433
746	0.1914812423
747	0.1914405705
748	0.1914033577
749	0.1913511364
750	0.1913057732
751	0.1912500732
752	0.1912092821
753	0.1911345184
754	0.1910381466
755	0.1909761251
756	0.190910426
757	0.1908724975
758	0.1908390616
759	0.1907938773
760	0.190700209
761	0.1906401157
762	0.1905531068
763	0.1904658592
764	0.1903932822
765	0.190340385
766	0.1903238062
767	0.1902783039
768	0.1902577692
769	0.1901369069
770	0.1900797358
771	0.1900652045
772	0.1899991675
773	0.1899770028
774	0.1899512996
775	0.1898610902
776	0.1898142759
777	0.1897932641
778	0.1897063148
779	0.1896594806
780	0.1895779184
781	0.1895345033
782	0.189457215
783	0.1894154301
784	0.1893310053
785	0.1892796984
786	0.1892151524
787	0.189185056
788	0.1890954628
789	0.1890269013
790	0.1889598902
791	0.1889363539
792	0.188860795
793	0.1887733089
794	0.188710711
795	0.1886212172
796	0.1885631317
797	0.188506378
798	0.1884883481
799	0.1884249947
800	0.1883912606
801	0.1883237327
802	0.1882303427
803	0.1882030493
804	0.1881511659
805	0.1880906155
806	0.1880129097
807	0.1879788774
808	0.1879240918
809	0.1878642967
810	0.1878559476
811	0.1878276205
812	0.187763154
813	0.1877461974
814	0.1877176715
815	0.1876667026
816	0.1876640786
817	0.1875711458
818	0.1875049498
819	0.1874235267
820	0.1873973863
821	0.1873097014
822	0.1872177625
823	0.1871576096
824	0.1871053685
825	0.187052034
826	0.1869767136
827	0.1869463987
828	0.186932901
829	0.186887518
830	0.1868525912
831	0.1868470649
832	0.1867986404
833	0.186728906
834	0.1867039782
835	0.1866755119
836	0.1866341046
837	0.1865799153
838	0.1865090279
839	0.1864496106
840	0.1864047046
841	0.1863660207
842	0.1862993476
843	0.1862517382
844	0.1862251604
845	0.1861671544
846	0.1861482697
847	0.186118551
848	0.1860986922
849	0.1860582192
850	0.1860190781
851	0.1859804737
852	0.1859251911
853	0.1858864078
854	0.1858818954
855	0.1858796093
856	0.1858479028
857	0.1858025397
858	0.1857620269
859	0.1856947376
860	0.1856682592
861	0.1856601487
862	0.185630609
863	0.185595702
864	0.1855095081
865	0.1854307288
866	0.1854288404
867	0.1854180661
868	0.1853589271
869	0.1852841633
870	0.1852810026
871	0.1852564723
872	0.1852156217
873	0.1851908528
874	0.1851831001
875	0.1851538586
876	0.1851373593
877	0.1851194685
878	0.1850800093
879	0.1850476269
880	0.1849820472
881	0.1849782503
882	0.1849720482
883	0.1849414947
884	0.1849264067
885	0.1848922353
886	0.1848574874
887	0.1848302337
888	0.1848208907
889	0.1847905558
890	0.1847586704
891	0.1847107628
892	0.1846444674
893	0.1846158024
894	0.1845733018
895	0.1845191522
896	0.1844919781
897	0.1844821183
898	0.1844371726
899	0.1843842555
900	0.1843624884
901	0.1843530062
902	0.1842857765
903	0.1842755987
904	0.1842713247
905	0.1842362587
906	0.1842259815
907	0.1841981513
908	0.1841607396
909	0.1841574597
910	0.1841245406
911	0.1840733728
912	0.184042382
913	0.1840391418
914	0.1840110929
915	0.1839556115
916	0.1839445391
917	0.1838849627
918	0.183841488
919	0.1837994248
920	0.1837503841
921	0.1837448777
922	0.1837146422
923	0.1836628384
924	0.1835877963
925	0.1835775389
926	0.1835492715
927	0.1835260532
928	0.183455782
929	0.1834370961
930	0.1834323451
931	0.1833729476
932	0.1833703037
933	0.183341738
934	0.1832841296
935	0.1832812671
936	0.1832259447
937	0.1832216112
938	0.1831676803
939	0.1831309048
940	0.1831123182
941	0.1830750258
942	0.1830366003
943	0.1830043968
944	0.1829757914
945	0.1829075479
946	0.1829008289
947	0.1828756228
948	0.1828382508
949	0.182794637
950	0.1827570464
951	0.1827491944
952	0.1827290573
953	0.1827049643
954	0.1826877295
955	0.1826376948
956	0.1826344745
957	0.1825987128
958	0.1825463523
959	0.1825221003
960	0.1824866566
961	0.18244678
962	0.1824375961
963	0.1824314734
964	0.182426305
965	0.1823829694
966	0.1823590554
967	0.1822988031
968	0.1822788648
969	0.1822330444
970	0.1822018747
971	0.1821817574
972	0.1821629125
973	0.1821074907
974	0.1820522478
975	0.1820494052
976	0.1820353709
977	0.1820241394
978	0.1819869663
979	0.1819257002
980	0.1818706561
981	0.1818406592
982	0.1818033469
983	0.1817732903
984	0.1817607469
985	0.1817284639
986	0.1816693845
987	0.1816277386
988	0.1815874048
989	0.1815653792
990	0.1815226003
991	0.1815200558
992	0.1814872958
993	0.1814836182
994	0.1814579747
995	0.1814122538
996	0.1813849603
997	0.1813802491
998	0.1813775058
999	0.1813707272
1000	0.1813307711
1001	0.1813002573
1002	0.1812639986
1003	0.1812232274
1004	0.1812192517
1005	0.1812169457
1006	0.1811894734
1007	0.1811156837
1008	0.1811136959
1009	0.1810674183
1010	0.1810564453
1011	0.1810116387
1012	0.1809934299
1013	0.180991442
1014	0.1809472914
1015	0.1809234569
1016	0.1808915914
1017	0.1808693074
1018	0.1807843459
1019	0.1807676279
1020	0.1807314686
1021	0.180688809
1022	0.1806677177
1023	0.1806232093
1024	0.1805678671
1025	0.1805310915
1026	0.1804990272
1027	0.1804715946
1028	0.1804695273
1029	0.1804360118
1030	0.1804334077
1031	0.1804065118
1032	0.1803657804
1033	0.1803232202
1034	0.1803175746
1035	0.1803067606
1036	0.1803036596
1037	0.1802794473
1038	0.1802615565
1039	0.1802484565
1040	0.1802408628
1041	0.180238696
1042	0.180221004
1043	0.1801915637
1044	0.180166437
1045	0.1801646082
1046	0.1801624812
1047	0.1801299994
1048	0.1800958081
1049	0.1800706218
1050	0.1800459921
1051	0.1800329119
1052	0.1799926576
1053	0.1799803527
1054	0.1799378521
1055	0.1799325644
1056	0.1799159259
1057	0.1799028457
1058	0.179862333
1059	0.1798485968
1060	0.1798195342
1061	0.179804168
1062	0.1797662991
1063	0.1797596596
1064	0.1797294241
1065	0.1796914757
1066	0.1796898854
1067	0.1796513804
1068	0.1796262339
1069	0.1795899553
1070	0.1795448904
1071	0.1795010976
1072	0.1794681388
1073	0.1794658726
1074	0.1794638251
1075	0.17945975
1076	0.179439593
1077	0.1793998157
1078	0.1793508744
1079	0.1793243364
1080	0.1793225274
1081	0.1792877
1082	0.1792416809
1083	0.1792340077
1084	0.1792148645
1085	0.1791878295
1086	0.1791845495
1087	0.179144494
1088	0.179110581
1089	0.1790820948
1090	0.1790500703
1091	0.1790243075
1092	0.1790139507
1093	0.1789978688
1094	0.1789774336
1095	0.1789711917
1096	0.1789684882
1097	0.1789373383
1098	0.1788940027
1099	0.1788736867
1100	0.178858241
1101	0.1788559947
1102	0.1788377063
1103	0.1788209287
1104	0.1788180463
1105	0.1787803166
1106	0.1787456084
1107	0.1786916974
1108	0.1786784383
1109	0.1786376473
1110	0.1786176295
1111	0.1785666804
1112	0.1785398442
1113	0.1784990531
1114	0.1784674858
1115	0.1784121436
1116	0.1783880903
1117	0.178363739
1118	0.1783530244
1119	0.1783006838
1120	0.1782815605
1121	0.1782742253
1122	0.1782439103
1123	0.1781879717
1124	0.1781503811
1125	0.1781299259
1126	0.1781256719
1127	0.1780956352
1128	0.1780522003
1129	0.1780454018
1130	0.178029797
1131	0.1780238732
1132	0.1779843544
1133	0.1779786094
1134	0.1779746933
1135	0.1779644956
1136	0.1779421718
1137	0.1779193113
1138	0.1779120954
1139	0.1778720199
1140	0.177853831
1141	0.1778063607
1142	0.1777901397
1143	0.1777827249
1144	0.1777418146
1145	0.1776987375
1146	0.1776956165
1147	0.1776350065
1148	0.1776011729
1149	0.1775877946
1150	0.1775310608
1151	0.1775213004
1152	0.1775141242
1153	0.1774672702
1154	0.1774188854
1155	0.1773978936
1156	0.1773596867
1157	0.1773577187
1158	0.1773296103
1159	0.1772781842
1160	0.1772551845
1161	0.1772005181
1162	0.1771907776
1163	0.1771740397
1164	0.1771703622
1165	0.1771224943
1166	0.1770811069
1167	0.1770120881
1168	0.1770074564
1169	0.1769810575
1170	0.1769496492
1171	0.1769096931
1172	0.1768626005
1173	0.1768508522
1174	0.1768414297
1175	0.1768366389
1176	0.1768350089
1177	0.17680861
1178	0.1768044156
1179	0.1767974382
1180	0.1767743391
1181	0.1767716953
1182	0.1767535063
1183	0.1767161344
1184	0.1766976869
1185	0.1766648275
1186	0.1766280321
1187	0.1766263225
1188	0.1766230624
1189	0.1766189276
1190	0.1766137194
1191	0.1765873802
1192	0.1765480005
1193	0.1765201703
1194	0.1765154392
1195	0.1764926384
1196	0.1764315909
1197	0.1764211348
1198	0.1763647588
1199	0.1763463114
1200	0.1763264128
1201	0.176323928
1202	0.1763027771
1203	0.1762512317
1204	0.1762078763
1205	0.1761745199
1206	0.1761703652
1207	0.1761600879
1208	0.1761296736
1209	0.1761036722
1210	0.1761016446
1211	0.1760762794
1212	0.1760459843
1213	0.1760090299
1214	0.1759871235
1215	0.1759665491
1216	0.1759534689
1217	0.1759484198
1218	0.1759253804
1219	0.1758867561
1220	0.1758715091
1221	0.1758421285
1222	0.1758069631
1223	0.1757746205
1224	0.1757529527
1225	0.1757495336
1226	0.1757275875
1227	0.1757075697
1228	0.1756976105
1229	0.175676221
1230	0.1756512335
1231	0.175647059
1232	0.1756342571
1233	0.1756317921
1234	0.1755817376
1235	0.1755416423
1236	0.1755202529
1237	0.1754972135
1238	0.1754706953
1239	0.1754551502
