iter	Passed	Remaining
0	35	70829
1	70	70052
2	103	68849
3	139	69548
4	173	69387
5	207	69046
6	243	69229
7	277	69114
8	312	69110
9	346	68860
10	380	68734
11	414	68591
12	448	68493
13	481	68350
14	516	68314
15	550	68210
16	585	68273
17	619	68176
18	652	68052
19	686	67992
20	721	67948
21	754	67854
22	788	67769
23	821	67654
24	854	67490
25	889	67516
26	924	67547
27	958	67477
28	991	67362
29	1025	67340
30	1058	67262
31	1092	67213
32	1128	67252
33	1162	67230
34	1196	67194
35	1230	67155
36	1264	67065
37	1297	66982
38	1330	66918
39	1365	66901
40	1400	66905
41	1434	66860
42	1467	66768
43	1500	66693
44	1534	66686
45	1567	66587
46	1601	66535
47	1635	66497
48	1668	66433
49	1703	66448
50	1737	66402
51	1771	66370
52	1805	66313
53	1839	66299
54	1873	66243
55	1906	66175
56	1940	66135
57	1973	66080
58	2005	65989
59	2039	65946
60	2073	65908
61	2106	65852
62	2140	65814
63	2173	65761
64	2207	65709
65	2240	65653
66	2274	65613
67	2308	65588
68	2342	65549
69	2376	65515
70	2409	65463
71	2442	65406
72	2475	65344
73	2509	65310
74	2542	65264
75	2576	65218
76	2609	65177
77	2643	65139
78	2676	65074
79	2708	65014
80	2743	65008
81	2778	64983
82	2811	64942
83	2845	64915
84	2879	64870
85	2913	64845
86	2948	64831
87	2982	64798
88	3015	64751
89	3049	64710
90	3083	64681
91	3117	64649
92	3150	64610
93	3185	64581
94	3218	64541
95	3253	64526
96	3286	64485
97	3320	64452
98	3356	64460
99	3390	64411
100	3424	64387
101	3458	64356
102	3491	64312
103	3525	64274
104	3558	64228
105	3592	64187
106	3625	64144
107	3660	64130
108	3695	64105
109	3728	64058
110	3763	64044
111	3797	64014
112	3831	63990
113	3865	63945
114	3898	63908
115	3931	63847
116	3965	63814
117	3998	63772
118	4031	63730
119	4064	63677
120	4098	63652
121	4132	63610
122	4166	63587
123	4198	63526
124	4231	63474
125	4264	63425
126	4299	63407
127	4332	63364
128	4366	63331
129	4400	63299
130	4434	63264
131	4467	63221
132	4500	63169
133	4533	63132
134	4566	63079
135	4598	63031
136	4632	62994
137	4665	62956
138	4699	62918
139	4733	62887
140	4767	62858
141	4801	62829
142	4835	62795
143	4868	62755
144	4903	62736
145	4937	62699
146	4970	62653
147	5003	62612
148	5037	62574
149	5071	62542
150	5105	62516
151	5138	62475
152	5171	62434
153	5206	62405
154	5239	62367
155	5273	62338
156	5307	62309
157	5341	62270
158	5375	62240
159	5410	62215
160	5443	62178
161	5477	62149
162	5512	62120
163	5545	62081
164	5579	62045
165	5612	62009
166	5647	61981
167	5681	61950
168	5714	61914
169	5748	61879
170	5782	61851
171	5816	61814
172	5849	61777
173	5882	61736
174	5916	61705
175	5949	61660
176	5982	61620
177	6014	61569
178	6048	61530
179	6082	61499
180	6114	61452
181	6148	61419
182	6182	61383
183	6216	61356
184	6249	61310
185	6283	61285
186	6317	61249
187	6351	61212
188	6384	61179
189	6417	61132
190	6451	61099
191	6484	61060
192	6518	61028
193	6550	60984
194	6585	60957
195	6619	60922
196	6652	60887
197	6685	60844
198	6718	60806
199	6752	60770
200	6786	60742
201	6820	60705
202	6852	60663
203	6886	60624
204	6919	60586
205	6952	60546
206	6990	60549
207	7024	60522
208	7058	60487
209	7092	60453
210	7125	60411
211	7159	60387
212	7194	60357
213	7226	60313
214	7260	60275
215	7293	60241
216	7327	60211
217	7361	60173
218	7394	60134
219	7428	60100
220	7461	60062
221	7493	60018
222	7527	59983
223	7561	59948
224	7594	59909
225	7627	59872
226	7662	59845
227	7695	59805
228	7727	59760
229	7760	59721
230	7794	59690
231	7828	59655
232	7861	59616
233	7894	59576
234	7927	59539
235	7960	59499
236	7992	59456
237	8025	59418
238	8058	59379
239	8093	59351
240	8127	59317
241	8160	59280
242	8194	59253
243	8229	59225
244	8263	59191
245	8296	59154
246	8330	59120
247	8362	59075
248	8395	59040
249	8429	59004
250	8463	58974
251	8496	58933
252	8529	58898
253	8563	58864
254	8598	58838
255	8631	58805
256	8667	58786
257	8701	58754
258	8735	58721
259	8768	58683
260	8803	58653
261	8836	58620
262	8869	58582
263	8902	58539
264	8935	58502
265	8968	58461
266	9001	58424
267	9034	58388
268	9067	58349
269	9101	58315
270	9135	58282
271	9168	58248
272	9202	58213
273	9235	58175
274	9267	58135
275	9300	58096
276	9333	58059
277	9372	58056
278	9406	58022
279	9440	57993
280	9475	57963
281	9507	57923
282	9541	57891
283	9574	57854
284	9608	57818
285	9642	57785
286	9675	57750
287	9709	57716
288	9742	57682
289	9775	57641
290	9808	57601
291	9841	57567
292	9875	57533
293	9908	57498
294	9942	57465
295	9976	57430
296	10009	57393
297	10043	57361
298	10076	57324
299	10110	57292
300	10143	57257
301	10179	57235
302	10212	57194
303	10245	57161
304	10278	57124
305	10312	57086
306	10345	57053
307	10379	57022
308	10415	57000
309	10449	56967
310	10485	56943
311	10518	56905
312	10552	56873
313	10585	56839
314	10618	56802
315	10651	56765
316	10689	56751
317	10722	56713
318	10755	56676
319	10788	56641
320	10821	56602
321	10853	56561
322	10886	56524
323	10920	56487
324	10954	56455
325	10987	56418
326	11019	56380
327	11052	56342
328	11085	56304
329	11119	56271
330	11153	56239
331	11187	56204
332	11221	56176
333	11255	56142
334	11288	56107
335	11322	56071
336	11355	56035
337	11388	55998
338	11422	55965
339	11456	55933
340	11489	55897
341	11522	55861
342	11556	55827
343	11589	55790
344	11622	55755
345	11656	55721
346	11689	55685
347	11723	55655
348	11757	55619
349	11791	55587
350	11824	55549
351	11857	55515
352	11891	55481
353	11925	55450
354	11960	55421
355	11993	55384
356	12026	55349
357	12060	55316
358	12093	55281
359	12127	55246
360	12161	55215
361	12194	55178
362	12229	55148
363	12263	55116
364	12297	55085
365	12331	55055
366	12365	55023
367	12399	54989
368	12433	54956
369	12469	54932
370	12503	54898
371	12536	54863
372	12569	54828
373	12603	54792
374	12637	54761
375	12671	54728
376	12704	54695
377	12738	54660
378	12772	54628
379	12806	54595
380	12839	54559
381	12872	54523
382	12907	54493
383	12941	54460
384	12974	54425
385	13007	54390
386	13041	54354
387	13073	54317
388	13109	54290
389	13142	54256
390	13176	54221
391	13211	54192
392	13245	54161
393	13279	54127
394	13313	54097
395	13346	54059
396	13381	54033
397	13414	53997
398	13449	53965
399	13482	53930
400	13515	53895
401	13549	53861
402	13583	53827
403	13617	53794
404	13650	53759
405	13684	53724
406	13718	53694
407	13753	53665
408	13787	53632
409	13820	53596
410	13852	53557
411	13886	53523
412	13919	53487
413	13952	53452
414	13986	53420
415	14019	53383
416	14052	53346
417	14086	53313
418	14119	53275
419	14152	53240
420	14185	53204
421	14218	53169
422	14253	53137
423	14286	53104
424	14320	53071
425	14354	53037
426	14389	53007
427	14422	52970
428	14454	52933
429	14488	52899
430	14521	52863
431	14555	52832
432	14590	52800
433	14623	52766
434	14656	52731
435	14693	52707
436	14728	52679
437	14761	52643
438	14797	52616
439	14830	52580
440	14864	52546
441	14897	52511
442	14934	52490
443	14968	52457
444	15001	52422
445	15035	52389
446	15069	52355
447	15102	52319
448	15136	52285
449	15169	52250
450	15202	52215
451	15235	52178
452	15269	52145
453	15303	52111
454	15336	52078
455	15370	52044
456	15405	52014
457	15440	51986
458	15473	51949
459	15507	51914
460	15540	51880
461	15573	51844
462	15607	51811
463	15641	51777
464	15675	51744
465	15707	51707
466	15740	51672
467	15774	51637
468	15807	51602
469	15841	51568
470	15874	51534
471	15908	51499
472	15941	51464
473	15975	51431
474	16010	51400
475	16044	51368
476	16079	51340
477	16115	51313
478	16149	51279
479	16182	51245
480	16217	51215
481	16251	51181
482	16284	51146
483	16317	51110
484	16353	51082
485	16386	51048
486	16420	51014
487	16460	51001
488	16494	50967
489	16527	50931
490	16561	50899
491	16595	50865
492	16629	50833
493	16664	50803
494	16698	50769
495	16730	50732
496	16764	50699
497	16798	50664
498	16830	50627
499	16864	50593
500	16897	50558
501	16932	50527
502	16966	50494
503	17001	50463
504	17035	50430
505	17067	50394
506	17101	50359
507	17135	50326
508	17173	50306
509	17206	50270
510	17240	50237
511	17275	50207
512	17313	50184
513	17345	50147
514	17381	50119
515	17414	50084
516	17449	50052
517	17482	50016
518	17517	49987
519	17551	49954
520	17587	49927
521	17621	49894
522	17654	49856
523	17688	49823
524	17724	49798
525	17762	49775
526	17795	49739
527	17829	49705
528	17862	49670
529	17895	49635
530	17929	49601
531	17962	49566
532	17996	49531
533	18029	49496
534	18063	49463
535	18096	49427
536	18130	49395
537	18163	49358
538	18196	49323
539	18229	49286
540	18262	49252
541	18296	49219
542	18330	49186
543	18363	49149
544	18399	49122
545	18433	49087
546	18468	49058
547	18501	49021
548	18535	48988
549	18568	48954
550	18601	48918
551	18635	48883
552	18669	48850
553	18702	48816
554	18736	48782
555	18770	48748
556	18804	48715
557	18837	48680
558	18870	48645
559	18903	48610
560	18936	48573
561	18972	48546
562	19006	48512
563	19042	48483
564	19074	48446
565	19108	48412
566	19141	48376
567	19174	48341
568	19207	48304
569	19245	48283
570	19278	48248
571	19313	48215
572	19347	48182
573	19380	48147
574	19414	48113
575	19447	48078
576	19481	48045
577	19514	48010
578	19548	47975
579	19582	47942
580	19615	47908
581	19649	47873
582	19684	47844
583	19719	47812
584	19752	47776
585	19788	47748
586	19821	47714
587	19855	47680
588	19889	47646
589	19921	47610
590	19957	47580
591	19990	47543
592	20024	47511
593	20057	47476
594	20089	47439
595	20122	47403
596	20155	47367
597	20188	47332
598	20221	47296
599	20254	47261
600	20287	47225
601	20323	47196
602	20358	47164
603	20391	47130
604	20427	47101
605	20461	47067
606	20494	47033
607	20527	46997
608	20561	46964
609	20594	46928
610	20628	46894
611	20660	46858
612	20695	46825
613	20731	46797
614	20764	46762
615	20798	46728
616	20832	46696
617	20866	46662
618	20902	46632
619	20934	46596
620	20969	46564
621	21003	46530
622	21035	46494
623	21068	46457
624	21104	46430
625	21137	46394
626	21174	46366
627	21206	46330
628	21240	46297
629	21274	46263
630	21307	46229
631	21341	46194
632	21375	46161
633	21410	46130
634	21443	46095
635	21475	46058
636	21510	46026
637	21544	45993
638	21578	45959
639	21611	45925
640	21644	45890
641	21677	45854
642	21710	45817
643	21747	45791
644	21784	45763
645	21816	45727
646	21849	45691
647	21882	45656
648	21915	45620
649	21951	45591
650	21984	45555
651	22016	45519
652	22049	45484
653	22083	45449
654	22117	45417
655	22149	45379
656	22182	45345
657	22216	45311
658	22251	45278
659	22284	45244
660	22318	45210
661	22352	45178
662	22386	45144
663	22420	45111
664	22453	45074
665	22487	45042
666	22520	45007
667	22554	44973
668	22587	44938
669	22620	44903
670	22654	44870
671	22687	44835
672	22720	44799
673	22753	44764
674	22789	44735
675	22823	44702
676	22857	44667
677	22889	44630
678	22921	44594
679	22954	44558
680	22987	44523
681	23020	44488
682	23053	44452
683	23087	44420
684	23122	44387
685	23155	44353
686	23188	44317
687	23221	44283
688	23255	44249
689	23287	44212
690	23319	44175
691	23352	44140
692	23386	44107
693	23419	44072
694	23453	44038
695	23485	44001
696	23518	43965
697	23551	43931
698	23585	43898
699	23617	43861
700	23651	43827
701	23685	43794
702	23717	43757
703	23752	43725
704	23785	43690
705	23818	43655
706	23853	43625
707	23886	43589
708	23919	43554
709	23951	43518
710	23983	43480
711	24016	43446
712	24049	43410
713	24082	43375
714	24114	43339
715	24148	43305
716	24181	43271
717	24213	43234
718	24246	43197
719	24279	43163
720	24313	43129
721	24348	43098
722	24383	43067
723	24419	43037
724	24451	43000
725	24488	42972
726	24521	42937
